country,country:de,country:es,country:fr,country:nb,country:cs,country:ru,country:nl,country:sv,country:pt,country:zh,country:zh-tw,country:pl,country:it,country:da
Mongolia,Mongolei,Mongolia,Mongolie,Mongolia,Mongolsko,Монголия,Mongolië,Mongoliet,Mongólia,蒙古(Mongolia),蒙古 (Mongolia),Mongolia,Mongolia,Mongoliet
Maldives,Malediven,Maldivas,Maldives,Maldivene,Maledivy,Мальдивы,Malediven,Maldiverna,Maldivas,马尔代夫(Maldives),馬爾地夫 (Maldives),Malediwy,Maldive,Maldiverne
Malaysia,Malaysia,Malasia,Malaisie,Malaysia,Malajsie,Малайзия,Maleisië,Malaysia,Malásia,马来西亚(Malaysia),馬來西亞 (Malaysia),Malezja,Malaysia,Malaysia
Oman,Oman,Omán,Oman,Oman,Omán,Оман,Oman,Oman,"Omã (BR), Omão (PT)",阿曼(Oman),阿曼王國 (Oman),Oman,Oman,Oman
Nepal,Nepal,Nepal,Népal,Nepal,Nepál,Непал,Nepal,Nepal,Nepal,尼泊尔(Nepal),尼泊爾 (Nepal),Nepal,Nepal,Nepal
Palestine,Palästina,Palestina,Palestine,Palestina,Stát Palestina,Палестина,Palestina,Palestina,Palestina,巴勒斯坦(Palestine),巴勒斯坦 (Palestine),Palestyna,Palestina,Palæstina
Pakistan,Pakistan,Pakistán,Pakistan,Pakistan,Pákistán,Пакистан,Pakistan,Pakistan,Paquistão,巴基斯坦(Pakistan),巴基斯坦 (Pakistan),Pakistan,Pakistan,Pakistan
Qatar,Katar,Catar,Qatar,Qatar,Katar,Катар,Qatar,Qatar,Catar,卡塔尔(Qatar),卡達 (Qatar),Katar,Qatar,Qatar
Saudi Arabia,Saudi-Arabien,Arabia Saudita,Arabie saoudite,Saudi-Arabia,Saúdská Arábie,Саудовская Аравия,Saoedi-Arabië,Saudiarabien,Arábia Saudita,沙特阿拉伯(Saudi Arabia),沙烏地阿拉伯 (Saudi Arabia),Arabia Saudyjska,Arabia Saudita,Saudi-Arabien
Singapore,Singapur,Singapur,Singapour,Singapore,Singapur,Сингапур,Singapore,Singapore,Singapura,新加坡(Singapore),新加坡 (Singapore),Singapur,Singapore,Singapore
Syria,Syrien,Siria,Syrie,Syria,Sýrie,Сирия,Syrië,Syrien,Síria,叙利亚(Syria),敘利亞 (Syria),Syria,Siria,Syrien
Taiwan,Taiwan,Taiwán,Taïwan,Taiwan,Tchaj-wan,Тайвань,Taiwan,Taiwan,Taiwan,台湾(Taiwan),台灣(中華民國) (Taiwan),Tajwan,Taiwan,Taiwan
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Srí Lanka,Шри-Ланка,Sri Lanka,Sri Lanka,Sri Lanka,斯里兰卡(Sri Lanka),斯里蘭卡 (Sri Lanka),Sri Lanka,Sri Lanka,Sri Lanka
Tajikistan,Tadschikistan,Tayikistán,Tadjikistan,Tadsjikistan,Tádžikistán,Таджикистан,Tadzjikistan,Tadzjikistan,Tajiquistão,塔吉克斯坦(Tajikistan),塔吉克共和國 (Tajikistan),Tadżykistan,Tagikistan,Tadsjikistan
Thailand,Thailand,Tailandia,Thaïlande,Thailand,Thajsko,Таиланд,Thailand,Thailand,Tailândia,泰国(Thailand),泰國 (Thailand),Tajlandia,Thailandia,Thailand
Timor-Leste,Osttimor,Timor Oriental,Timor oriental,Øst-Timor,Východní Timor,Восточный Тимор,Oost-Timor,Östtimor,Timor-Leste,东帝汶(Timor-Leste),東帝汶 (Timor-Leste),Timor Wschodni,Timor Est,Østtimor
United Arab Emirates,Vereinigte Arabische Emirate,Emiratos Árabes Unidos,Émirats arabes unis,De forente arabiske emirater,Spojené arabské emiráty,Объединенные Арабские Эмираты,Verenigde Arabische Emiraten,Förenade Arabemiraten,Emirados Árabes Unidos,阿拉伯联合酋长国(United Arab Emirates),阿拉伯聯合大公國 (United Arab Emirates),Zjednoczone Emiraty Arabskie,Emirati Arabi Uniti,De Forenede Arabiske Emirater
Turkmenistan,Turkmenistan,Turkmenistán,Turkménistan,Turkmenistan,Turkmenistán,Туркменистан,Turkmenistan,Turkmenistan,Turcomenistão,土库曼斯坦(Turkmenistan),土庫曼 (Turkmenistan),Turkmenistan,Turkmenistan,Turkmenistan
Yemen,Jemen,Yemen,Yémen,Jemen,Jemen,Йемен,Jemen,Jemen,"Iêmen (BR), Iémen (PT)",也门(Yemen),葉門 (Yemen),Jemen,Yemen,Yemen
Vietnam,Vietnam,Vietnam,Viêt Nam,Vietnam,Vietnam,Вьетнам,Vietnam,Vietnam,"Vietnã (BR), Vietname (PT)",越南(Vietnam),越南 (Vietnam),Wietnam,Vietnam,Vietnam
Uzbekistan,Usbekistan,Uzbekistán,Ouzbékistan,Usbekistan,Uzbekistán,Узбекистан,Oezbekistan,Uzbekistan,Uzbequistão,乌兹别克斯坦(Uzbekistan),烏茲別克 (Uzbekistan),Uzbekistan,Uzbekistan,Usbekistan
Fiji,Fidschi,Fiyi,Fidji,Fiji,Fidži,Фиджи,Fiji,Fiji,Fiji,斐济(Fiji),斐濟 (Fiji),Fidżi,Figi,Fiji
Papua New Guinea,Papua-Neuguinea,Papúa Nueva Guinea,Papouasie-Nouvelle-Guinée,Papua Ny-Guinea,Papua Nová Guinea,Папуа — Новая Гвинея,Papoea-Nieuw-Guinea,Papua Nya Guinea,Papua-Nova Guiné,巴布亚新几内亚(Papua New Guinea),巴布亞紐幾內亞 (Papua New Guinea),Papua-Nowa Gwinea,Papua Nuova Guinea,Papua Ny Guinea
Australia,Australien,Australia,Australie,Australia,Austrálie,Австралия,Australië,Australien,Austrália,澳大利亚(Australia),澳大利亞 (Australia),Australia,Australia,Australien
Solomon Islands,Salomonen,Islas Salomón,Îles Salomon,Salomonøyene,Šalomounovy ostrovy,Соломоновы острова,Salomonseilanden,Salomonöarna,Ilhas Salomão,所罗门群岛(Solomon Islands),索羅門群島 (Solomon Islands),Wyspy Salomona,Isole Salomone,Salomonøerne
Argentina,Argentinien,Argentina,Argentine,Argentina,Argentina,Аргентина,Argentinië,Argentina,Argentina,阿根廷(Argentina),阿根廷 (Argentina),Argentyna,Argentina,Argentina
Bolivia,Bolivien,Bolivia,Bolivie,Bolivia,Bolívie,Боливия,Bolivia,Bolivia,Bolívia,玻利维亚(Bolivia),玻利維亞 (Bolivia),Boliwia,Bolivia,Bolivia
Brazil,Brasilien,Brasil,Brésil,Brasil,Brazílie,Бразилия,Brazilië,Brasilien,Brasil,巴西(Brazil),巴西 (Brazil),Brazylia,Brasile,Brasilien
Chile,Chile,Chile,Chili,Chile,Chile,Чили,Chili,Chile,Chile,智利(Chile),智利 (Chile),Chile,Cile,Chile
Colombia,Kolumbien,Colombia,Colombie,Colombia,Kolumbie,Колумбия,Colombia,Colombia,Colômbia,哥伦比亚(Colombia),哥倫比亞 (Colombia),Kolumbia,Colombia,Colombia
Ecuador,Ecuador,Ecuador,Équateur,Ecuador,Ekvádor,Эквадор,Ecuador,Ecuador,Equador,厄瓜多尔(Ecuador),厄瓜多 (Ecuador),Ekwador,Ecuador,Ecuador
Guyana,Guyana,Guyana,Guyana,Guyana,Guyana,Гайана,Guyana,Guyana,Guiana,圭亚那(Guyana),蓋亞那 (Guyana),Gujana,Guyana,Guyana
Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Парагвай,Paraguay,Paraguay,Paraguai,巴拉圭(Paraguay),巴拉圭 (Paraguay),Paragwaj,Paraguay,Paraguay
Peru,Peru,Perú,Pérou,Peru,Peru,Перу,Peru,Peru,Peru,秘鲁(Peru),祕魯 (Peru),Peru,Perù,Peru
Suriname,Suriname,Surinam,Suriname,Surinam,Surinam,Суринам,Suriname,Surinam,Suriname,苏里南(Suriname),蘇利南 (Suriname),Surinam,Suriname,Surinam
Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Уругвай,Uruguay,Uruguay,Uruguai,乌拉圭(Uruguay),烏拉圭 (Uruguay),Urugwaj,Uruguay,Uruguay
Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Венесуэла,Venezuela,Venezuela,Venezuela,委内瑞拉(Venezuela),委內瑞拉 (Venezuela),Wenezuela,Venezuela,Venezuela
Cook Islands,Cookinseln,Islas Cook,Îles Cook,Cookøyene,Cookovy ostrovy,Острова Кука,Cookeilanden,Cooköarna,Ilhas Cook,库克群岛(Cook Islands),庫克群島 (Cook Islands),Wyspy Cooka,Isole Cook,Cookøerne
Federated States of Micronesia,Föderierte Staaten von Mikronesien,Estados Federados de Micronesia,États fédérés de Micronésie,Mikronesiaføderasjonen,Federativní státy Mikronésie,Федеративные Штаты Микронезии,Federale Staten van Micronesië,Mikronesiens federerade stater,Estados Federados da Micronésia,密克罗尼西亚联邦(Federated States of Micronesia),密克羅尼西亞 (Federated States of Micronesia),Mikronezja,Stati Federati di Micronesia,Mikronesien
Guam,Guam,Guam,Guam,Guam,Guam,Гуам,Guam,Guam,Guam,关岛(Guam),關島 (Guam),Guam,Guam,Guam
Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Вануату,Vanuatu,Vanuatu,Vanuatu,瓦努阿图(Vanuatu),萬那杜 (Vanuatu),Vanuatu,Vanuatu,Vanuatu
Canada,Kanada,Canadá,Canada,Canada,Kanada,Канада,Canada,Kanada,Canadá,加拿大(Canada),加拿大 (Canada),Kanada,Canada,Canada
United States of America,Vereinigte Staaten von Amerika,Estados Unidos,États-Unis,USA,Spojené státy americké,Соединенные Штаты Америки,Verenigde Staten,USA,Estados Unidos,"美国(United States of America, 全称美利坚合众国)",美國(美利堅合眾國) (United States of America),Stany Zjednoczone,Stati Uniti d'America,USA
Mexico,Mexiko,México,Mexique,Mexico,Mexiko,Мексика,Mexico,Mexiko,México,墨西哥(Mexico),墨西哥 (Mexico),Meksyk,Messico,Mexico
Puerto Rico,Puerto Rico,Puerto Rico,Porto Rico,Puerto Rico,Portoriko,Пуэрто-Рико,Puerto Rico,Puerto Rico,Porto Rico,波多黎各(Puerto Rico),波多黎各 (Puerto Rico),Portoryko,Porto Rico,Puerto Rico
Cuba,Kuba,Cuba,Cuba,Cuba,Kuba,Куба,Cuba,Kuba,Cuba,古巴(Cuba),古巴 (Cuba),Kuba,Cuba,Cuba
Dominican Republic,Dominikanische Republik,República Dominicana,République dominicaine,Den dominikanske republikk,Dominikánská republika,Доминиканская Республика,Dominicaanse Republiek,Dominikanska republiken,República Dominicana,多米尼加共和国(Dominican Republic),多明尼加共和國 (Dominican Republic),Dominikana,Repubblica Dominicana,Den Dominikanske Republik
Haiti,Haiti,Haití,Haïti,Haiti,Haiti,Гаити,Haïti,Haiti,Haiti,海地(Haiti),海地 (Haiti),Haiti,Haiti,Haiti
Jamaica,Jamaika,Jamaica,Jamaïque,Jamaica,Jamajka,Ямайка,Jamaica,Jamaica,Jamaica,牙买加(Jamaica),牙買加 (Jamaica),Jamajka,Giamaica,Jamaica
Trinidad and Tobago,Trinidad und Tobago,Trinidad y Tobago,Trinité-et-Tobago,Trinidad og Tobago,Trinidad a Tobago,Тринидад и Тобаго,Trinidad en Tobago,Trinidad och Tobago,Trindade e Tobago,特立尼达和多巴哥(Trinidad and Tobago),千里達及托巴哥 (Trinidad and Tobago),Trynidad i Tobago,Trinidad e Tobago,Trinidad og Tobago
Bermuda,Bermuda,Bermudas,Bermudes,Bermuda,Bermuda,Бермудские Острова,Bermuda,Bermuda,Bermudas,百慕大(Bermuda),百慕達 (Bermuda),Bermudy,Bermuda,Bermuda
Guadeloupe,Guadeloupe,Guadalupe,Guadeloupe,Guadeloupe,Guadeloupe,Гваделупа,Guadeloupe,Guadeloupe,Guadalupe,瓜德罗普岛(Guadeloupe),瓜地洛普 (Guadeloupe),Gwadelupa,Guadalupa,Guadeloupe
The Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamy,Багамские острова,Bahama's,Bahamas,Bahamas,巴哈马(The Bahamas),巴哈馬 (The Bahamas),Bahamy,Bahamas,Bahamas
Barbados,Barbados,Barbados,Barbade,Barbados,Barbados,Барбадос,Barbados,Barbados,Barbados,巴巴多斯(Barbados),巴貝多 (Barbados),Barbados,Barbados,Barbados
Belize,Belize,Belice,Belize,Belize,Belize,Белиз,Belize,Belize,Belize,伯利兹(Belize),貝里斯 (Belize),Belize,Belize,Belize
Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Kostarika,Коста-Рика,Costa Rica,Costa Rica,Costa Rica,哥斯达黎加(Costa Rica),哥斯大黎加 (Costa Rica),Kostaryka,Costa Rica,Costa Rica
El Salvador,El Salvador,El Salvador,Salvador,El Salvador,Salvador,Сальвадор,El Salvador,El Salvador,El Salvador,萨尔瓦多(El Salvador),薩爾瓦多 (El Salvador),Salwador,El Salvador,El Salvador
Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Гватемала,Guatemala,Guatemala,Guatemala,危地马拉(Guatemala),瓜地馬拉 (Guatemala),Gwatemala,Guatemala,Guatemala
Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Гондурас,Honduras,Honduras,Honduras,洪都拉斯(Honduras),宏都拉斯 (Honduras),Honduras,Honduras,Honduras
Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Никарагуа,Nicaragua,Nicaragua,Nicarágua,尼加拉瓜(Nicaragua),尼加拉瓜 (Nicaragua),Nikaragua,Nicaragua,Nicaragua
Panama,Panama,Panamá,Panama,Panama,Panama,Панама,Panama,Panama,Panamá,巴拿马(Panama),巴拿馬 (Panama),Panama,Panama,Panama
Antigua and Barbuda,Antigua und Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,Antigua og Barbuda,Antigua a Barbuda,Антигуа и Барбуда,Antigua en Barbuda,Antigua och Barbuda,Antígua e Barbuda,安提瓜和巴布达(Antigua and Barbuda),安地卡及巴布達 (Antigua and Barbuda),Antigua i Barbuda,Antigua e Barbuda,Antigua og Barbuda
Dominica,Dominica,Dominica,Dominique,Dominica,Dominika,Доминика,Dominica,Dominica,Dominica,多米尼加(Dominica),多明尼加 (Dominica),Dominika,Dominica,Dominica
Saint Vincent and the Grenadines,St. Vincent und die Grenadinen,San Vicente y las Granadinas,Saint-Vincent-et-les-Grenadines,Saint Vincent og Grenadinene,Svatý Vincenc a Grenadiny,Сент-Винсент и Гренадины,Saint Vincent en de Grenadines,Saint Vincent och Grenadinerna,São Vicente e Granadinas,圣文森特和格林纳丁斯(Saint Vincent and the Grenadines),聖文森及格瑞那丁 (Saint Vincent and the Grenadines),Saint Vincent i Grenadyny,Saint Vincent e Grenadine,Saint Vincent og Grenadinerne
Somalia,Somalia,Somalia,Somalie,Somalia,Somálsko,Сомали,Somalië,Somalia,Somália,索马里(Somalia),索馬利亞 (Somalia),Somalia,Somalia,Somalia
Zanzibar,Sansibar,Zanzíbar,Zanzibar,Zanzibar,Zanzibar,Занзибар,Zanzibar,Zanzibar,Zanzibar,桑给巴尔(Zanzibar),尚吉巴 (Zanzibar),Zanzibar,Zanzibar,Zanzibar
Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Гана,Ghana,Ghana,Gana,加纳(Ghana),迦納 (Ghana),Ghana,Ghana,Ghana
Guinea,Guinea,Guinea,Guinée,Guinea,Guinea,Гвинея,Guinee,Guinea,Guiné,几内亚(Guinea),幾內亞 (Guinea),Gwinea,Guinea,Guinea
New Zealand,Neuseeland,Nueva Zelanda,Nouvelle-Zélande,New Zealand,Nový Zéland,Новая Зеландия,Nieuw-Zeeland,Nya Zeeland,Nova Zelândia,新西兰(New Zealand),紐西蘭 (New Zealand),Nowa Zelandia,Nuova Zelanda,New Zealand
French Polynesia,Französisch-Polynesien,Polinesia Francesa,Polynésie française,Fransk Polynesia,Francouzská Polynésie,Французская Полинезия,Frans-Polynesië,Franska Polynesien,Polinésia Francesa,法属波利尼西亚(French Polynesia),法屬玻里尼西亞 (French Polynesia),Polinezja Francuska,Polinesia francese,Fransk Polynesien
Philippines,Philippinen,Filipinas,Philippines,Filippinene,Filipíny,Филиппины,Filipijnen,Filippinerna,Filipinas,菲律宾(Philippines),菲律賓 (Philippines),Filipiny,Filippine,Filippinerne
Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Косово,Kosovo,Kosovo,Kosovo,科索沃(Kosovo),科索沃 (Kosovo),Kosowo,Kosovo,Kosovo
Libya,Libyen,Libia,Libye,Libya,Libye,Ливия,Libië,Libyen,Líbia,利比亚(Libya),利比亞 (Libya),Libia,Libia,Libyen
Palau,Palau,Palaos,Palaos,Palau,Palau,Палау,Palau,Palau,Palau,帕劳(Palau),帛琉 (Palau),Palau,Palau,Palau
Saint Lucia,St. Lucia,Santa Lucía,Sainte-Lucie,Saint Lucia,Svatá Lucie,Сент-Люсия,Saint Lucia,Saint Lucia,Santa Lúcia,圣卢西亚(Saint Lucia),聖露西亞 (Saint Lucia),Saint Lucia,Saint Lucia,Saint Lucia
Bali,Bali,Bali,Bali,Bali,Bali,Бали,Bali,Bali,Bali,巴厘岛(Bali),峇里島 (Bali),Bali,Bali,Bali
Grenada,Grenada,Granada,Grenade,Grenada,Grenada,Гренада,Grenada,Grenada,Granada,格林纳达(Grenada),格瑞那達 (Grenada),Grenada,Grenada,Grenada
British Virgin Islands,Britische Jungferninseln,Islas Vírgenes Británicas,Îles Vierges britanniques,De britiske Jomfruøyer,Britské Panenské ostrovy,Британские Виргинские Острова,Britse Maagdeneilanden,Brittiska Jungfruöarna,Ilhas Virgens Britânicas,英属维尔京群岛(British Virgin Islands),英屬維京群島 (British Virgin Islands),Brytyjskie Wyspy Dziewicze,Isole Vergini britanniche,De Britiske Jomfruøer
Turks and Caicos Islands,Turks- und Caicosinseln,Islas Turcas y Caicos,Îles Turques-et-Caïques,Turks- og Caicosøyene,Turks a Caicos,Острова Теркс и Кайкос,Turks- en Caicoseilanden,Turks- och Caicosöarna,Turcas e Caicos,特克斯和凯科斯群岛(Turks and Caicos Islands),土克凱可群島 (Turks and Caicos Islands),Wyspy Turks i Caicos,Turks e Caicos,Turks- og Caicosøerne
Cayman Islands,Cayman Islands (Kaimaninseln),Islas Caimán,Îles Caïmans,Caymanøyene,Kajmanské ostrovy,Каймановы острова,Kaaimaneilanden,Caymanöarna,Ilhas Caimã,开曼群岛(Cayman Islands),開曼群島 (Cayman Islands),Kajmany,Isole Cayman,Caymanøerne
Anguilla,Anguilla,Anguila,Anguilla,Anguilla,Anguilla,Ангилья,Anguilla,Anguilla,Anguila,安圭拉(Anguilla),安奎拉 (Anguilla),Anguilla,Anguilla,Anguilla
Azores,Azoren (Habichtsinseln),Azores,Açores,Asorene,Azory,Азорские острова,Azoren,Azorerna,Açores,亚速尔群岛(Azores),亞速群島 (Azores),Azory,Azzorre,Azorerne
Curaçao,Curaçao,Curazao,Curaçao,Curaçao,Curaçao,Кюрасао,Curaçao,Curaçao,Curaçao,库拉索(Curaçao),庫拉索 (Curaçao),Curaçao,Curaçao,Curaçao
French Guiana,Französisch-Guayana,Guayana Francesa,Guyane,Fransk Guyana,Francouzská Guyana,Французская Гвиана,Frans-Guyana,Franska Guyana,Guiana Francesa,法属圭亚那(French Guiana),法屬圭亞那 (French Guiana),Gujana Francuska,Guyana francese,Fransk Guyana
Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Гибралтар,Gibraltar,Gibraltar,Gibraltar,直布罗陀(Gibraltar),直布羅陀 (Gibraltar),Gibraltar,Gibilterra,Gibraltar
Guernsey,Guernsey,Guernsey,Guernesey,Guernsey,Guernsey,Гернси,Guernsey,Guernsey,Guernesei,根西岛(Guernsey),根西 (Guernsey),Guernsey,Guernsey,Guernsey
Isle of Man,Isle of Man,Isla de Man,Île de Man,Man,Man,Остров Мэн,Man,Isle of Man,Ilha de Man,马恩岛(Isle of Man),曼島 (Isle of Man),Wyspa Man,Isola di Man,Isle of Man
Jersey,Jersey,Jersey,Jersey,Jersey,Jersey,Джерси,Jersey,Jersey,Jérsia,泽西岛(Jersey),澤西島 (Jersey),Jersey,Jersey,Jersey
Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Кирибати,Kiribati,Kiribati,Quiribati,基里巴斯(Kiribati),吉里巴斯 (Kiribati),Kiribati,Kiribati,Kiribati
Macau,Macau,Macao,Macao,Macao,Macao,Макао,Macau,Macao,Macau,澳门(Macau),澳門 (Macau),Makau,Macao,Macao
Madeira,Autonome Region Madeira,Madeira,Madère,Madeira,Madeira,Мадейра,Madeira,Madeira,Madeira,马德拉(Madeira),馬德拉群島 (Madeira),Madera,Madera,Madeira
Marshall Islands,Marshallinseln,Islas Marshall,Îles Marshall,Marshalløyene,Marshallovy ostrov,Маршалловы острова,Marshalleilanden,Marshallöarna,Ilhas Marshall,马绍尔群岛(Marshall Islands),馬爾紹群島 (Marshall Islands),Wyspy Marshalla,Isole Marshall,Marshalløerne
Nauru,Nauru,Nauru,Nauru,Nauru,Nauru,Науру,Nauru,Nauru,Nauru,瑙鲁(Nauru),諾魯共和國 (Nauru),Nauru,Nauru,Nauru
New Caledonia,Neukaledonien,Nueva Caledonia,Nouvelle-Calédonie,Ny-Caledonia,Nová Kaledonie,Новая Каледония,Nieuw-Caledonië,Nya Kaledonien,Nova Caledônia,新喀里多尼亚(New Caledonia),新喀里多尼亞 (New Caledonia),Nowa Kaledonia,Nuova Caledonia,Ny Kaledonien
Niue,Niue,Niue,Niue,Niue,Niue,Ниуэ,Niue,Niue,Niuê,纽埃(Niue),紐埃島 (Niue),Niue,Niue,Niue
Northern Cyprus,Nordzypern,Chipre del Norte,Chypre du Nord,Nord-Kypros,Severní Kypr,Северный Кипр,Noord-Cyprus,Nordcypern,Chipre do Norte,北塞浦路斯(Northern Cyprus),北賽普勒斯 (Northern Cyprus),Cypr Północny,Cipro del Nord,Nordcypern
Saint Kitts and Nevis,St. Kitts und Nevis,San Cristóbal y Nieves,Saint-Christophe-et-Niévès,Saint Kitts og Nevis,Svatý Kryštof a Nevis,Сент-Китс и Невис,Saint Kitts en Nevis,Saint Kitts och Nevis,São Cristóvão e Névis,圣基茨和尼维斯(Saint Kitts and Nevis),聖克里斯多福及尼維斯聯邦 (Saint Kitts and Nevis),Saint Kitts i Nevis,Saint Kitts e Nevis,Saint Kitts og Nevis
Samoa,Samoa,Samoa,Samoa,Samoa,Samoa,Самоа,Samoa,Samoa,Samoa,萨摩亚(Samoa),薩摩亞 (Samoa),Samoa,Samoa,Samoa
Somaliland,Somaliland,Somalilandia,Somaliland,Somaliland,Somaliland,Сомалиленд,Somaliland,Somaliland,Somalilândia,索马里兰(Somaliland),索馬利蘭共和國 (Somaliland),Somaliland,Somaliland,Somaliland
South Sudan,Südsudan,Sudán del Sur,Soudan du Sud,Sør-Sudan,Jižní Súdán,Южный Судан,Zuid-Soedan,Sydsudan,Sudão do Sul,南苏丹(South Sudan),南蘇丹 (South Sudan),Sudan Południowy,Sudan del Sud,Sydsudan
Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Тувалу,Tuvalu,Tuvalu,Tuvalu,图瓦卢(Tuvalu),吐瓦魯 (Tuvalu),Tuvalu,Tuvalu,Tuvalu
United States Virgin Islands,Amerikanische Jungferninseln,Islas Vírgenes de los Estados Unidos,Îles Vierges des États-Unis,De amerikanske Jomfruøyer,Americké Panenské ostrovy,Виргинские Острова Соединенных Штатов,Amerikaanse Maagdeneilanden,Amerikanska Jungfruöarna,Ilhas Virgens Americanas,美属维尔京群岛(United States Virgin Islands),美屬維京群島 (United States Virgin Islands),Wyspy Dziewicze Stanów Zjednoczonych,Isole Vergini americane,De Amerikanske Jomfruøer
Åland Islands,Åland,Åland,Åland,Åland,Alandy,Аландские острова,Åland,Åland,Alanda,奥兰群岛(Åland Islands),奧蘭群島 (Åland Islands),Wyspy Alandzkie,Isole Åland,Åland
South Ossetia,Südossetien,Osetia del Sur,Ossétie du Sud-Alanie,Sør-Ossetia,Jižní Osetie,Южная Осетия,Zuid-Ossetië,Sydossetien,Ossétia do Sul,南奥塞梯(South Ossetia),南奧塞梯 (South Ossetia),Osetia Południowa,Ossezia del Sud,Sydossetien
American Samoa,Amerikanisch-Samoa,Samoa Americana,Samoa américaines,Amerikansk Samoa,Americká Samoa,Американское Самоа,Amerikaans Samoa,Amerikanska Samoa,Samoa Americana,美属萨摩亚(American Samoa),美屬薩摩亞 (American Samoa),Samoa Amerykańskie,Samoa Americane,Amerikansk Samoa
Northern Mariana Islands,Nördliche Marianen,Islas Marianas del Norte,Îles Mariannes du Nord,Nord-Marianene,Severní Mariany,Северные Марианские Острова,Noordelijke Marianen,Nordmarianerna,Ilhas Marianas do Norte,北马里亚纳群岛(Northern Mariana Islands),北馬里亞納群島 (Northern Mariana Islands),Mariany Północne,Isole Marianne Settentrionali,Nordmarianerne
Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Аруба,Aruba,Aruba,Aruba,阿鲁巴(Aruba),荷屬阿魯巴 (Aruba),Aruba,Aruba,Aruba
Abkhazia,Abchasien,Abjasia,Abkhazie,Abkhasia,Abcházie,Абхазия,Abchazië,Abchazien,Abecásia,阿布哈兹(Abkhazia),阿布哈茲共和國 (Abkhazia),Abchazja,Abcasia,Abkhasien
Sint Maarten,Sint Maarten,San Martín (Países Bajos),Saint-Martin (royaume des Pays-Bas),Sint Maarten,Svatý Martin (nizozemská část),Синт-Мартен,Sint Maarten (Koninkrijk der Nederlanden),Sint Maarten,São Martinho (Países Baixos),圣马丁岛(Sint Maarten),荷屬聖馬丁 (Sint Maarten),Sint Maarten,Sint Maarten,Sint-Maarten
Tonga,Tonga,Tonga,Tonga,Tonga,Tonga,Тонга,Tonga,Tonga,Tonga,汤加(Tonga),東加 (Tonga),Tonga,Tonga,Tonga
Transnistria,Transnistrien,Transnistria,Transnistrie,Transnistria,Podněstří,Приднестровье,Transnistrië,Transnistrien,Transnístria,德涅斯特河沿岸(Transnistria),德涅斯特河沿岸共和國 (Transnistria),Naddniestrze,Transnistria,Transnistrien
Sardinia,Sardinien,Cerdeña,Sardaigne,Sardinia,Sardinie,Сардиния,Sardinië,Sardinien,Sardenha,撒丁岛(Sardinia),薩丁尼亞 (Sardinia),Sardynia,Sardegna,Sardinien
Kaliningrad Oblast,Oblast Kaliningrad,Óblast de Kaliningrado,Oblast de Kaliningrad,Kaliningrad oblast,Kaliningradská oblast,Калининградская область,Oblast Kaliningrad,Kaliningrad oblast,Caliningrado,加里宁格勒州(Kaliningrad Oblast),加里寧格勒州 (Kaliningrad Oblast),Obwód królewiecki,Oblast' di Kaliningrad,Kaliningrad Oblast
Martinique,Martinique,Martinica,Martinique,Martinique,Martinik,Мартиника,Martinique,Martinique,Martinica,马提尼克(Martinique),馬丁尼克 (Martinique),Martynika,Martinica,Martinique
Java,Java,Java,Java,Java,Jáva,Ява,Java,Java,Java,爪哇岛(Java),爪哇 (Java),Jawa,Giava,Java
Corsica,Korsika,Córcega,Corse,Korsika,Korsika,Корсика,Corsica,Korsika,Córsega,科西嘉岛(Corsica),科西嘉 (Corsica),Korsyka,Corsica,Korsika
European Union,Europäische Union,Unión Europea,Union européenne,Den europeiske union,Evropská unie,Европейский Союз,Europese Unie,Europeiska unionen,União Europeia,欧盟(European Union),歐盟 (European Union),Unia Europejska,Unione europea,Den Europæiske Union
Gulf of Mexico,Golf von Mexiko,Golfo de México,Golfe du Mexique,Mexicogolfen,Mexický záliv,Мексиканский залив,Golf van Mexico,Mexikanska golfen,Golfo do México,墨西哥湾(Gulf of Mexico),墨西哥灣 (Gulf of Mexico),Zatoka Meksykańska,Golfo del Messico,Den Mexicanske Golf
